field,name
FIELD_1,_id
FIELD_2,AREA_ID
FIELD_3,DATE_EFFECTIVE
FIELD_4,AREA_ATTR_ID
FIELD_5,PARENT_AREA_ID
FIELD_6,AREA_SHORT_CODE
FIELD_7,AREA_LONG_CODE
FIELD_8,AREA_NAME
FIELD_9,AREA_DESC
FIELD_10,OBJECTID
geometry,geometry
